TITLE,ALT_WORDS,DESC_ID,DESCRIPTION
Cardboard - Unwaxed,"paper, old corrugated cardboard, OCC, corrugated fibreboard, fiberboard, boxes, paperboard, card stock, packaging, cardboard barrel, detergent box, cardboard box, coffee cup sleeve",8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Pizza box empty- no food residue or plastics,"boxes,paper, old corrugated cardboard, OCC, corrugated fibreboard, fiberboard, paperboard, card stock",8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Cereal box,"paper, boxes, boxboard",8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Tissue box  ,"paper, boxboard, boxes, kleenex box, kleenx box",8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Boxboard,"paper, boxes",8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Shoe box,"paper, boxes",8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Milk carton,"cartons, containers, gable top, beverages",8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Cigarette package ,,8,"Please flatten cardboard boxes/ cartons and place in your Blue Bin.  Before placing the item in your Blue Bin, please remove any liners and dispose of the liners in your Garbage Bin.  All recycling should fit in your Blue Bin with the lid closed.  If you have extra recycling, please keep materials until your next Blue Bin collection.  Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.  "
Plastic food tub ,"containers, tubs, buckets, wide mouth, yogurt, margarine, plastic tub, lid",10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
Plastic food tub lid ,"lids, tubs, tops, covers, wide mouth,",10,"Please remove any foil seals, rinse and place in your Blue Bin with lid on. All recycling should fit in your Blue Bin with the lid closed. If you have extra recycling, please keep materials until your next Blue Bin collection. Occasionally you can place extra recycling in clear plastic bags beside the full blue bin. If you wish to exchange your Blue Bin for a larger size (at no cost), please call 311.   "
